behavior,n_steps,total_distance_km,total_cost,mean_edge_distance_km,sum_w_cost,sum_c_cost,sum_d_cost,sum_f_cost,a_wind,b_crosswind,c_distance,d_food,status
behavior_177,154,18732.018483357628,5101.837618736024,121.63648365816641,5328.0213819416085,4556.251560008267,7699.816642589707,3009.697955037648,0.5,0.3,0.1,0.1,ok
behavior_113,155,18637.917032589095,5107.461393177285,120.24462601670385,5758.590888194353,4404.332442690072,7749.815451957173,2048.354156209386,0.3,0.1,0.3,0.3,ok
behavior_149,155,18663.774867731223,5137.165597105206,120.41145075955627,5810.428091640349,4184.6099541744725,7749.815451957173,2130.54639611367,0.4,0.2,0.2,0.2,ok
behavior_202,171,20832.295598194316,5139.678989055614,121.82629004791998,4666.048471530218,5803.437318048932,8549.796401836622,4381.216869959033,0.7,0.1,0.1,0.1,ok
behavior_045,126,15473.967405051211,5139.738021669559,122.80926511945405,6939.488029847616,4405.210083073128,6299.849980300671,2851.1440674238206,0.1,0.1,0.5,0.3,ok
behavior_029,125,15366.9837975583,5140.156365142174,122.9358703804664,7027.46278983932,4294.575624067075,6249.851170933205,2974.0053004874217,0.0,0.4,0.5,0.1,ok
behavior_211,172,20927.8933420592,5148.753834926516,121.67379850034419,4630.866787980207,5840.808834219369,8599.795211204088,4615.922267618096,0.8,0.1,0.1,0.0,ok
behavior_093,125,15380.501257110713,5161.401550354432,123.0440100568857,6997.355873985683,4307.332481000556,6249.851170933205,2973.8763998858312,0.2,0.3,0.3,0.2,ok
behavior_130,153,18588.51337047222,5163.164291605002,121.4935514409949,5666.0686694818305,4131.5606267537205,7649.8178332222415,2807.558734145176,0.3,0.4,0.2,0.1,ok
behavior_137,155,18651.813151736664,5174.9847632056335,120.33427839830105,5391.901255462114,5080.252074926964,7749.815451957173,2310.932084778778,0.4,0.0,0.3,0.3,ok
behavior_192,154,18731.363125564676,5178.444139831995,121.63222808808231,5309.018421869696,4597.783954224229,7699.816642589707,3034.946316063654,0.6,0.2,0.1,0.1,ok
behavior_016,125,15366.860654111633,5201.81251588699,122.93488523289307,7032.1992549142515,4307.570804176622,6249.851170933205,2951.9382624586838,0.0,0.2,0.6,0.2,ok
behavior_080,126,15475.024899495758,5202.495860549652,122.81765793250602,6923.759115016764,4424.141021046825,6299.849980300671,2851.2998110711565,0.2,0.1,0.4,0.3,ok
behavior_169,155,18651.84024642584,5215.318429710251,120.33445320274735,5403.2737595382105,5015.320425939512,7749.815451957173,2310.932084778778,0.5,0.1,0.2,0.2,ok
behavior_065,125,15366.9837975583,5217.917527032789,122.9358703804664,7027.46278983932,4294.575624067075,6249.851170933205,2974.0053004874217,0.1,0.4,0.4,0.1,ok
behavior_180,153,18588.992748807494,5232.732735646119,121.49668463272872,5614.346754627643,4151.4439375251895,7649.8178332222415,2953.1001224625084,0.5,0.4,0.1,0.0,ok
behavior_184,155,18804.459139343788,5233.424814526106,121.31909122157282,5271.256053320843,5244.531144165046,7749.815451957173,2603.5404607108176,0.6,0.0,0.2,0.2,ok
behavior_205,172,20929.821996047,5254.735068028586,121.68501160492443,4666.964845059797,5639.400776831589,8599.795211204088,4667.499060486253,0.7,0.2,0.1,0.0,ok
behavior_003,124,15264.663450311342,5254.832711515033,123.10212459928502,6904.357430321512,4589.100505379741,6199.85236156574,3049.786861396694,0.0,0.0,0.7,0.3,ok
behavior_036,125,15366.052433940888,5269.614863648255,122.9284194715271,7087.5887912808785,4289.378556363299,6249.851170933205,3136.0011462496786,0.0,0.5,0.5,0.0,ok
behavior_052,125,15380.378113664046,5279.562223966107,123.04302490931236,7002.092339060614,4320.327661110103,6249.851170933205,2951.8093618570933,0.1,0.2,0.5,0.2,ok
behavior_134,153,18587.7030090957,5285.749877141404,121.48825496140981,5640.946580320454,4127.004672801632,7649.8178332222415,2952.715014373731,0.3,0.5,0.2,0.0,ok
behavior_099,125,15380.501257110713,5294.747158465905,123.0440100568857,6997.355873985683,4307.332481000556,6249.851170933205,2973.8763998858312,0.2,0.4,0.3,0.1,ok
behavior_039,122,15049.215930329494,5311.908853023248,123.354228937127,6646.050813878315,4810.876356679287,6099.854742830808,3291.303086456428,0.1,0.0,0.6,0.3,ok
behavior_154,153,18575.66707001822,5312.793369622068,121.40958869292953,5657.586210446468,4192.490660543855,7649.8178332222415,2620.481206358742,0.4,0.3,0.2,0.1,ok
behavior_195,153,18601.665759648495,5324.649815621902,121.5795147689444,5319.274973763743,4560.343493471443,7649.8178332222415,3154.7766179925225,0.6,0.3,0.1,0.0,ok
behavior_120,155,18663.774867731223,5331.104333136887,120.41145075955627,5810.428091640349,4184.6099541744725,7749.815451957173,2130.54639611367,0.3,0.2,0.3,0.2,ok
behavior_023,125,15366.9837975583,5335.683919828792,122.9358703804664,7027.46278983932,4294.575624067075,6249.851170933205,2974.0053004874217,0.0,0.3,0.6,0.1,ok
behavior_071,125,15366.9837975583,5349.974559390754,122.9358703804664,7027.46278983932,4294.575624067075,6249.851170933205,2974.0053004874217,0.1,0.5,0.4,0.0,ok
behavior_087,125,15377.431934390803,5351.1990253380945,123.01945547512642,6890.905088552265,4363.290378180918,6249.851170933205,3002.097318090867,0.2,0.2,0.4,0.2,ok
behavior_074,122,15059.173938118089,5360.9702733168715,123.43585195178761,6524.549354625684,4961.430483190697,6099.854742830808,3353.7767699210904,0.2,0.0,0.5,0.3,ok
behavior_010,125,15366.860654111633,5396.0405525626475,122.93488523289307,7032.1992549142515,4307.570804176622,6249.851170933205,2951.9382624586838,0.0,0.1,0.7,0.2,ok
behavior_107,122,15059.023062481858,5403.187478927195,123.43461526624473,6517.0981968263595,4972.835539096276,6099.854742830808,3360.3870758231947,0.3,0.0,0.4,0.3,ok
behavior_199,169,20587.86840607184,5408.107443427229,121.82170654480379,4672.072013789962,5826.587302659505,8449.79878310169,4476.972771539152,0.7,0.0,0.2,0.1,ok
behavior_059,125,15366.9837975583,5413.445081719403,122.9358703804664,7027.46278983932,4294.575624067075,6249.851170933205,2974.0053004874217,0.1,0.3,0.5,0.1,ok
behavior_174,153,18602.476121025014,5416.104021368114,121.5848112485295,5344.39706292512,4564.8994474235315,7649.8178332222415,3009.6203377639677,0.5,0.2,0.2,0.1,ok
behavior_104,133,16249.091870338081,5417.209465988922,122.17362308524874,6693.610937190561,4167.069569577856,6649.84164587293,3394.6365571163215,0.2,0.5,0.3,0.0,ok
behavior_209,171,20815.157638859127,5418.756429848478,121.72606806350367,4635.996436851437,5863.556150911219,8549.796401836622,4784.029809769546,0.8,0.0,0.2,0.0,ok
behavior_158,153,18588.54655792797,5435.662163172812,121.4937683524704,5625.671736552419,4138.574754768484,7649.8178332222415,2953.1001224625084,0.4,0.4,0.2,0.0,ok
behavior_144,155,18651.77422797532,5449.4620893787105,120.33402727726012,5411.4811150135,4977.385908303992,7749.815451957173,2310.932084778778,0.4,0.1,0.3,0.2,ok
behavior_046,122,15049.092959113805,5463.8603814794415,123.35322097634266,6649.725179279624,4807.144005617045,6099.854742830808,3291.303086456428,0.1,0.1,0.6,0.2,ok
behavior_030,125,15366.052433940888,5465.662125105253,122.9284194715271,7087.5887912808785,4289.378556363299,6249.851170933205,3136.0011462496786,0.0,0.4,0.6,0.0,ok
behavior_164,154,18676.908979407992,5476.437531068362,121.27862973641552,5289.5751713010095,5209.829634610175,7699.816642589707,2608.5247632047185,0.5,0.0,0.3,0.2,ok
behavior_189,153,18566.3145227953,5476.943099565469,121.3484609333026,5230.798404695196,5164.968630048336,7649.8178332222415,2920.0362709906494,0.6,0.1,0.2,0.1,ok
behavior_094,125,15376.923130795209,5486.651878496405,123.01538504636167,6904.185599585253,4351.369107567639,6249.851170933205,3004.635579357809,0.2,0.3,0.4,0.1,ok
behavior_126,153,18575.220879138695,5511.553271650063,121.40667241267121,5668.9111923712435,4179.621477787148,7649.8178332222415,2620.481206358742,0.3,0.3,0.3,0.1,ok
behavior_081,122,15049.215930329494,5518.485787150285,123.354228937127,6646.050813878315,4810.876356679287,6099.854742830808,3291.303086456428,0.2,0.1,0.5,0.2,ok
behavior_017,125,15366.9837975583,5531.211474515405,122.9358703804664,7027.46278983932,4294.575624067075,6249.851170933205,2974.0053004874217,0.0,0.2,0.7,0.1,ok
behavior_203,169,20588.857464614834,5536.152721323301,121.82755896221795,4661.460475751357,5831.706316770046,8449.79878310169,4699.993312368329,0.7,0.1,0.2,0.0,ok
behavior_004,122,15044.689667713754,5538.048422169226,123.31712842388323,6659.2753864231345,4810.21010238611,6099.854742830808,3290.8231395228995,0.0,0.0,0.8,0.2,ok
behavior_066,125,15366.9837975583,5545.502114077365,122.9358703804664,7027.46278983932,4294.575624067075,6249.851170933205,2974.0053004874217,0.1,0.4,0.5,0.0,ok
behavior_178,153,18601.665759648495,5557.704101567754,121.5795147689444,5319.274973763743,4560.343493471443,7649.8178332222415,3154.7766179925225,0.5,0.3,0.2,0.0,ok
behavior_114,122,15059.173938118089,5564.205105823323,123.43585195178761,6524.549354625684,4961.430483190697,6099.854742830808,3353.7767699210904,0.3,0.1,0.4,0.2,ok
behavior_040,122,15059.242233297784,5592.56450314201,123.4364117483425,6573.334604855699,4916.389142584416,6099.854742830808,3326.6636133743245,0.1,0.0,0.7,0.2,ok
behavior_053,125,15380.501257110713,5608.5004261471895,123.0440100568857,6997.355873985683,4307.332481000556,6249.851170933205,2973.8763998858312,0.1,0.2,0.6,0.1,ok
behavior_100,125,15376.764737095882,5614.261834790147,123.01411789676706,6878.582398213481,4346.512216935414,6249.851170933205,3143.6386878182857,0.2,0.4,0.4,0.0,ok
behavior_193,162,19753.18510086956,5624.265270941657,121.93324136339234,4883.598345845346,5370.724199642806,8099.807117529432,4122.195942714397,0.6,0.2,0.2,0.0,ok
behavior_131,149,18156.834366639483,5629.824194332071,121.85794876939251,5757.544002699097,4169.035536991555,7449.822595752379,3340.2021005721467,0.3,0.4,0.3,0.0,ok
behavior_075,122,15059.023062481858,5635.409900228398,123.43461526624473,6517.0981968263595,4972.835539096276,6099.854742830808,3360.3870758231947,0.2,0.0,0.6,0.2,ok
behavior_150,153,18602.476121025014,5646.646098397827,121.5848112485295,5344.39706292512,4564.8994474235315,7649.8178332222415,3009.6203377639677,0.4,0.2,0.3,0.1,ok
behavior_024,125,15366.052433940888,5661.709386562241,122.9284194715271,7087.5887912808785,4289.378556363299,6249.851170933205,3136.0011462496786,0.0,0.3,0.7,0.0,ok
behavior_088,122,15049.216102560471,5669.091891806363,123.35423034885632,6644.988714204693,4794.148825507498,6099.854742830808,3313.370124485166,0.2,0.2,0.5,0.1,ok
behavior_108,122,15058.845702893417,5676.772704922164,123.43316149912637,6508.223686044225,4987.839930311636,6099.854742830808,3371.8911384674366,0.3,0.0,0.5,0.2,ok
behavior_011,122,15049.092959113805,5689.728503472003,123.35322097634266,6649.725179279624,4807.144005617045,6099.854742830808,3291.303086456428,0.0,0.1,0.8,0.1,ok
behavior_138,154,18530.061216357364,5714.39937290878,120.32507283348937,5341.571770553256,5196.836349847101,7699.816642589707,2489.220038257945,0.4,0.0,0.4,0.2,ok
behavior_170,153,18584.120347049062,5715.215593962387,121.4648388696017,5306.704072241635,4771.974835799838,7649.8178332222415,2897.207242949077,0.5,0.1,0.3,0.1,ok
behavior_121,122,15059.462944505396,5722.877928553378,123.4382208566016,6534.439662186064,4927.688523939539,6099.854742830808,3370.664279773257,0.3,0.2,0.4,0.1,ok
behavior_185,153,18565.533147674138,5724.012754897177,121.34335390636691,5224.540439132653,5208.755755186822,7649.8178332222415,2943.4314145090966,0.6,0.0,0.3,0.1,ok
behavior_060,125,15360.609260931105,5739.635834336621,122.88487408744885,6935.122394620565,4320.709641048787,6249.851170933205,3171.6534606948835,0.1,0.3,0.6,0.0,ok
behavior_047,122,15049.092959113805,5744.715547116881,123.35322097634266,6649.725179279624,4807.144005617045,6099.854742830808,3291.303086456428,0.1,0.1,0.7,0.1,ok
