behavior,n_steps,total_distance_km,total_cost,mean_edge_distance_km,sum_w_cost,sum_c_cost,sum_d_cost,sum_f_cost,a_wind,b_crosswind,c_distance,d_food,status
behavior_065,134,16225.447344004482,5488.867377375094,121.08542794033195,7241.150547069683,4410.188103270915,6699.840455240395,3207.408992636017,0.1,0.4,0.4,0.1,ok
behavior_080,158,18776.21162731932,5490.742688718722,118.8367824513881,6191.076788002239,4529.024089610509,7899.811880059569,2132.333900444632,0.2,0.1,0.4,0.3,ok
behavior_180,161,19420.264569990773,5503.906966249893,120.62276130429052,6063.1321119044,4168.400198703742,8049.808308161966,3119.4433109096367,0.5,0.4,0.1,0.0,ok
behavior_134,161,19420.27801301125,5512.130030745206,120.62284480131213,6068.4316156857,4163.277768814202,8049.808308161966,3160.3261202793387,0.3,0.5,0.2,0.0,ok
behavior_016,133,16141.703900351724,5521.888978558791,121.36619473948664,7295.001633678866,4456.59896279331,6649.84164587293,3203.320992381849,0.0,0.2,0.6,0.2,ok
behavior_208,183,22082.386602376966,5536.140175854591,120.66877924796157,5220.21333037937,6167.285700922545,9149.782114246209,4449.913001264686,0.8,0.0,0.1,0.1,ok
behavior_169,158,18789.85584033889,5537.511775803728,118.92313822999297,6096.396756077813,4744.594600289172,7899.811880059569,2174.4578086199335,0.5,0.1,0.2,0.2,ok
behavior_099,136,16458.863743840404,5540.211056155016,121.02105694000296,7161.395034950652,4360.891994191205,6799.838073975327,3236.2382929580094,0.2,0.4,0.3,0.1,ok
behavior_036,134,16225.430313994806,5552.270249507499,121.08530085070751,7284.480687422566,4404.700043774596,6699.840455240395,3218.4238505499,0.0,0.5,0.5,0.0,ok
behavior_120,158,18802.331787143987,5552.940704795835,119.00209991863282,6212.861652109589,4376.974878359031,7899.811880059569,2218.718347366381,0.3,0.2,0.3,0.2,ok
behavior_192,159,19086.921051480294,5560.689912075172,120.04352862566223,6030.4810470224365,4448.60259904054,7949.810689427035,2576.9969511089594,0.6,0.2,0.1,0.1,ok
behavior_154,157,18875.278190819623,5577.457139949029,120.22470185235429,6104.695110371693,4334.651270673885,7849.813070692104,2652.2110045976438,0.4,0.3,0.2,0.1,ok
behavior_052,133,16141.308109287389,5586.135937605012,121.36321886682248,7291.0605393459045,4457.224311287911,6649.84164587293,3203.320992381849,0.1,0.2,0.5,0.2,ok
behavior_003,133,16120.897888455542,5598.233018238292,121.20975855981611,7223.944283136348,4895.761271488674,6649.84164587293,3144.4795537574323,0.0,0.0,0.7,0.3,ok
behavior_214,188,22689.94496977545,5600.234224620137,120.69119664774175,5178.062898346422,6224.705761568679,9399.776161083537,5139.362032905511,0.9,0.0,0.1,0.0,ok
behavior_071,135,16342.050368832683,5607.380803708351,121.05222495431617,7252.1221720271,4364.465761324988,6749.839264607861,3268.1137902998044,0.1,0.5,0.4,0.0,ok
behavior_202,182,21987.80778641373,5621.853329400985,120.81213069458093,5250.242356748398,6030.401969399383,9099.783304878743,4336.651522492876,0.7,0.1,0.1,0.1,ok
behavior_107,158,18776.632276526245,5633.903382689321,118.8394447881408,6110.069328089523,4806.352037394008,7899.811880059569,2136.526107462096,0.3,0.0,0.4,0.3,ok
behavior_104,141,17095.703210987514,5639.883792027996,121.24612206374124,7109.169695307412,4206.200433445428,7049.8321208126545,3600.1576584257414,0.2,0.5,0.3,0.0,ok
behavior_023,133,16141.703900351724,5647.216775599942,121.36619473948664,7295.001633678866,4456.59896279331,6649.84164587293,3203.320992381849,0.0,0.3,0.6,0.1,ok
behavior_087,133,16139.35554724028,5649.484500898472,121.34853794917504,7280.986194556683,4462.680016037172,6649.84164587293,3204.07300215264,0.2,0.2,0.4,0.2,ok
behavior_039,133,16120.18492422425,5653.01745688693,121.20439792649812,7197.686032359378,4926.437269724892,6649.84164587293,3144.4795537574323,0.1,0.0,0.6,0.3,ok
behavior_184,157,18813.05551437089,5653.384694661247,119.82837907242606,5976.018265769026,4969.458025820426,7849.813070692104,2489.0556053070295,0.6,0.0,0.2,0.2,ok
behavior_211,185,22393.928079769183,5682.848826007484,121.04825989064423,5207.968576222597,5914.959917312903,9249.77973298114,4936.8385250273,0.8,0.1,0.1,0.0,ok
behavior_195,161,19421.65564897422,5691.764541915364,120.63140154642373,6055.724302318758,4177.83043235972,8049.808308161966,3119.532261354297,0.6,0.3,0.1,0.0,ok
